cell,formula,cached_value
B128,,~4m3_Skip Bin
C128,,per change over 
E128,='Equip&HIRE_Master'!D58,229.9
F128,=E128*D128,0
B129,,~6m3_Skip Bin
C129,,per change over 
E129,='Equip&HIRE_Master'!D59,239.8
F129,=E129*D129,0
B130,,Plus disposal 
C130,,Tonne 
E130,='Equip&HIRE_Master'!D60,309
F130,=E130*D130,0
B131,,Site fee 
C131,,Week
E131,='Equip&HIRE_Master'!D61,35
F131,=E131*D131,0
B132,,Vacuum Excavator - Vermeer VT250D
C132,,Day
E132,='Equip&HIRE_Master'!D62,295.77
F132,=E132*D132,0
B133,,Vac Trailer – Dry Hire
C133,,Day
E133,='Equip&HIRE_Master'!D63,355
F133,=E133*D133,0
E134,='Equip&HIRE_Master'!D64,0
F134,=E134*D134,0
B135,,TRANSPORT_Ex BRIS - Return
C135,,Day
E135,='Equip&HIRE_Master'!D65,0
F135,=E135*D135,0
B136,,TRANSPORT_Ex ROK - Return
C136,,Hour
D136,,18
E136,='Equip&HIRE_Master'!D66,180
F136,=E136*D136,3240
B137,,0-4T Per Hour Delivery Rate
C137,,Hour
E137,='Equip&HIRE_Master'!D67,125
F137,=E137*D137,0
B138,,5 - 9t Transport Hourly Rate 
C138,,Hour
E138,='Equip&HIRE_Master'!D68,160
F138,=E138*D138,0
B139,,10 - 19t Low Loader Hourly rate - Minimum 2 Hour Charge
C139,,Hour
E139,='Equip&HIRE_Master'!D69,200
F139,=E139*D139,0
B141,,FUEL - Average_Candle
C141,,Week
D141,,5
E141,,1850
F141,=E141*D141,9250
B143,,Subbies & Misc 
B145,,Surveyor
C145,,ea
E145,='Misc Subbie Rates_Master'!D35,180
F145,=E145*D145,0
B146,,Services Locator
C146,,ea
E146,='Misc Subbie Rates_Master'!D42,130
F146,=E146*D146,0
B147,,Compaction Testing - TEST
C147,,ea
D147,,40
E147,='Misc Subbie Rates_Master'!D72,115
F147,=E147*D147,4600
B148,,Compaction Testing - Site Establishment
C148,,ea
D148,,10
E148,='Misc Subbie Rates_Master'!D73,90
F148,=E148*D148,900
C149,,ea
F149,=E149*D149,0
C150,,ea
F150,=E150*D150,0
B151,,FIRE TESTING / CERT
C151,,ea
F151,=E151*D151,0
