cell,formula,cached_value
B133,,Concrete/GRC - Class D - 900SQ Riser - 450H
D133,,ea
B134,,Concrete/GRC - Class D - 900SQ Riser - 600H
D134,,ea
E134,,309
F134,=C134*E134,0
B135,,Concrete/GRC - Class D - 900SQ Riser - 900H
D135,,ea
E135,,375
F135,=C135*E135,0
B138,,Concrete Precast Base - Class D - 1050 dia 
D138,,ea
F138,=C138*E138,0
B139,,Concrete Precast Chamber/Shaft - Class D - 1200dia @ 150 Height
D139,,ea
F139,=C139*E139,0
B140,,Concrete Precast Base - Class D - 1200dia 
D140,,ea
E140,,1000
F140,=C140*E140,0
B141,,Concrete Precast Chamber/Shaft - Class D - 1200dia @ 200 Height
D141,,ea
E141,,330
F141,=C141*E141,0
B142,,Concrete Precast Chamber/Shaft - Class D - 1200dia @ 300 Height
D142,,ea
E142,,410
F142,=C142*E142,0
B143,,Concrete/GRC - Class D - 1200*900*1200 PIT w/Base - 1200H
D143,,ea
E143,,1082
F143,=C143*E143,0
B144,,Concrete/GRC - Class D - 1200*900*  Riser  - 150H
D144,,ea
E144,,286.1
F144,=C144*E144,0
B145,,Concrete/GRC - Class D - 1200*900*  Riser  - 300H
D145,,ea
E145,,409.4
F145,=C145*E145,0
B146,,Concrete/GRC - Class D - 1200*1200*1200 PIT w/Base - 1200H
D146,,ea
E146,,991
F146,=C146*E146,0
B147,,Concrete/GRC - Class D - 1200*1200 Riser - 150H
D147,,ea
E147,,286.1
F147,=C147*E147,0
B148,,Concrete/GRC - Class D - 1200*1200 Riser - 300H
D148,,ea
E148,,409.4
F148,=C148*E148,0
B149,,Concrete/GRC - Class D - 1200*1200 Riser - 600H
D149,,ea
E149,,662.4
F149,=C149*E149,0
B150,,Concrete/GRC - Class D - 1200*1200 Riser - 900H
D150,,ea
E150,,828
F150,=C150*E150,0
B151,,Concrete/GRC - Class D - 1500*1500*1500 shaft
D151,,ea
E151,,1810.1
F151,=C151*E151,0
B152,,Concrete/GRC - Class D - 1500*1500 Riser - 300H
D152,,ea
E152,,637.1
F152,=C152*E152,0
B153,,Concrete/GRC - Class D - 1500*1500 Riser - 600H
D153,,ea
E153,,841.25
F153,=C153*E153,0
B154,,Concrete/GRC - Class D - 1500*1500 Riser - 900H
D154,,ea
E154,,1528.35
F154,=C154*E154,0
B155,,Concrete/GRC - Class D - 1500*1500 Riser - 900H
D155,,ea
B158,,Concrete/GRC - Class D - 600*900 Pit w/base - 600H
D158,,ea
E158,,326
F158,=C158*E158,0
B159,,Concrete/GRC - Class D - 600*900 Pit w/base - 800-900H
D159,,ea
E159,,355
F159,=C159*E159,0
B160,,Concrete/GRC - Class D - 600*900 Riser - 150H
D160,,ea
E160,,150
F160,=C160*E160,0
B161,,Concrete/GRC - Class D - 600*900 Riser - 300H
D161,,ea
E161,,150
F161,=C161*E161,0
B162,,Concrete/GRC - Class D - 600*900 Riser - 450H
D162,,ea
E162,,197
F162,=C162*E162,0
B163,,Concrete/GRC - Class D - 600*900 Riser - 600H
D163,,ea
E163,,275
F163,=C163*E163,0
B164,,Concrete/GRC - Class D - 600*900 Riser - 900H
D164,,ea
E164,,350
F164,=C164*E164,0
B165,,PRECAST MANHOLE SHAFT 1050 X 300
D165,,ea
E165,,263
F165,=C165*E165,0
B166,,PRECAST MANHOLE SHAFT 1050 X 600
D166,,ea
E166,,293
F166,=C166*E166,0
B167,,PRECAST MANHOLE SHAFT 1050 X 900
C167,,13
D167,,ea
E167,,364
F167,=C167*E167,4732
B168,,PRECAST MANHOLE SHAFT 1050 X 1200
D168,,ea
E168,,445
F168,=C168*E168,0
B169,,PRECAST MANHOLE SHAFT 1050 X 1200 with600mm extension 
D169,,ea
E169,,600
F169,=C169*E169,0
B170,,PRECAST MANHOLE SHAFT 1500 SQ 
D170,,ea
E170,=E151,1810.1
F170,=C170*E170,0
B171,,PRECAST MANHOLE SHAFT 1500 SQ  150 RISER
D171,,ea
E171,=E152,637.1
F171,=C171*E171,0
B172,,PRECAST MANHOLE SHAFT 1500 DIA 
D172,,ea
B173,,1200X300 PRECAST CONCRETE STORMWATER SHAFT
D173,,ea
E173,,564
F173,=C173*E173,0
B174,,1200X600 PRECAST CONCRETE STORMWATER SHAFT
D174,,ea
E174,,820
F174,=C174*E174,0
B175,,1200X900 PRECAST CONCRETE STORMWATER SHAFT
C175,,2
D175,,ea
E175,,1101
F175,=C175*E175,2202
B176,,1200X1200 PRECAST CONCRETE STORMWATER SHAFT
C176,,1
D176,,ea
E176,,1403
F176,=C176*E176,1403
B177,,600x600 CL D Galv Heelguard Lockabl
D177,,ea
E177,,286
F177,=C177*E177,0
B178,,Class D - Galv - Grate & Frame - 600SQ
C178,,3
D178,,ea
E178,,195
F178,=C178*E178,585
B179,,900x900 CL D 2 Part Galv Heelguard
