cell,formula,cached_value
E104,='Equip&HIRE_Master'!D40,5.46
F104,=E104*D104,0
B105,,6*3m Demantable Lunchroom - COMPLETE
C105,,Day
E105,='Equip&HIRE_Master'!D41,23
F105,=E105*D105,0
B106,,6*3m Demantable Office - COMPLETE
C106,,Day
E106,='Equip&HIRE_Master'!D42,23
F106,=E106*D106,0
B107,,20Ft Shipping Container
C107,,Day
E107,='Equip&HIRE_Master'!D43,0
F107,=E107*D107,0
B108,,Quick Cut Demo Saw
C108,,Day
E108,='Equip&HIRE_Master'!D44,0
F108,=E108*D108,0
B109,,Sngl Ph_6KVA Genset
C109,,Day
E109,='Equip&HIRE_Master'!D45,0
F109,=E109*D109,0
B110,,Diesel Air Compressor_Trailer
C110,,Day
E110,='Equip&HIRE_Master'!D46,0
F110,=E110*D110,0
B111,,Air Breaker - Heavy
C111,,Day
E111,='Equip&HIRE_Master'!D47,0
F111,=E111*D111,0
B112,,Air Hose <10m
C112,,Day
E112,='Equip&HIRE_Master'!D48,0
F112,=E112*D112,0
B113,,Elec Breaker/Jachammer
C113,,Day
E113,='Equip&HIRE_Master'!D49,0
F113,=E113*D113,0
B114,,Flexdrive Motor Unit
C114,,Day
E114,='Equip&HIRE_Master'!D50,0
F114,=E114*D114,0
B115,,Flexdrive_Pump Shaft
C115,,Day
E115,='Equip&HIRE_Master'!D51,0
F115,=E115*D115,0
B116,,Temporary Power Board
C116,,Day
E116,='Equip&HIRE_Master'!D52,0
F116,=E116*D116,0
E117,='Equip&HIRE_Master'!D53,0
F117,=E117*D117,0
B118,,Dual CabUte
C118,,Day
E118,='Equip&HIRE_Master'!D54,0
F118,=E118*D118,0
B119,,3m3 Skip Bbin 
C119,,per serive
E119,='Equip&HIRE_Master'!D55,230
F119,=E119*D119,0
B120,,plus disposal 
C120,,Tonne 
E120,='Equip&HIRE_Master'!D56,309
F120,=E120*D120,0
B121,,site fee 
C121,,Week
E121,='Equip&HIRE_Master'!D57,35
F121,=E121*D121,0
B122,,~4m3_Skip Bin
C122,,per change over 
E122,='Equip&HIRE_Master'!D58,229.9
F122,=E122*D122,0
B123,,~6m3_Skip Bin
C123,,per change over 
E123,='Equip&HIRE_Master'!D59,239.8
F123,=E123*D123,0
B124,,Plus disposal 
C124,,Tonne 
E124,='Equip&HIRE_Master'!D60,309
F124,=E124*D124,0
B125,,Site fee 
C125,,Week
E125,='Equip&HIRE_Master'!D61,35
F125,=E125*D125,0
B126,,Vacuum Excavator - Vermeer VT250D
C126,,Day
E126,='Equip&HIRE_Master'!D62,295.77
F126,=E126*D126,0
B127,,Vac Trailer – Dry Hire
C127,,Day
E127,='Equip&HIRE_Master'!D63,355
F127,=E127*D127,0
E128,='Equip&HIRE_Master'!D64,0
F128,=E128*D128,0
B129,,TRANSPORT_Ex BRIS - Return
C129,,Day
E129,='Equip&HIRE_Master'!D65,0
F129,=E129*D129,0
B130,,TRANSPORT_Ex ROK - Return
C130,,Hour
E130,='Equip&HIRE_Master'!D66,180
F130,=E130*D130,0
B131,,0-4T Per Hour Delivery Rate
C131,,Hour
E131,='Equip&HIRE_Master'!D67,125
F131,=E131*D131,0
B132,,5 - 9t Transport Hourly Rate 
C132,,Hour
E132,='Equip&HIRE_Master'!D68,160
F132,=E132*D132,0
B133,,10 - 19t Low Loader Hourly rate - Minimum 2 Hour Charge
C133,,Hour
E133,='Equip&HIRE_Master'!D69,200
F133,=E133*D133,0
A134,,HIDDEN:
B135,,FUEL - Average_Candle
C135,,Week
E135,,1850
F135,=E135*D135,0
B137,,Subbies & Misc 
B139,,Surveyor
C139,,ea
E139,='Misc Subbie Rates_Master'!D35,180
F139,=E139*D139,0
B140,,Services Locator
C140,,ea
E140,='Misc Subbie Rates_Master'!D42,130
F140,=E140*D140,0
B141,,Compaction Testing - TEST
C141,,ea
E141,='Misc Subbie Rates_Master'!D72,115
F141,=E141*D141,0
B142,,Compaction Testing - Site Establishment
C142,,ea
E142,='Misc Subbie Rates_Master'!D73,90
F142,=E142*D142,0
C143,,ea
F143,=E143*D143,0
C144,,ea
F144,=E144*D144,0
B145,,FIRE TESTING / CERT
C145,,ea
F145,=E145*D145,0
B146,,"FULL Hydro Test - Per Test (6.5Hr 1 x fitter, 1 x apprentice, 1 day Test gear)"
C146,,ea
E146,='Misc Subbie Rates_Master'!D84,1945
F146,=E146*D146,0
B147,,Provision of Form 72
C147,,ea
E147,='Misc Subbie Rates_Master'!D86,350
F147,=E147*D147,0
B150,,"Material - Quarry, Misc"
B152,='Material Rates_Master'!A185,Bedding / Fill Sand
C152,='Material Rates_Master'!B185,m3
E152,='Material Rates_Master'!D185,39.75
F152,=E152*D152,0
B153,='Material Rates_Master'!A186,CBR 45/2.5 Roadbase
C153,='Material Rates_Master'!B186,m3
E153,='Material Rates_Master'!D186,41.9
F153,=E153*D153,0
B154,='Material Rates_Master'!A187,Turf Underlay/Topsoil
C154,='Material Rates_Master'!B187,m3
E154,='Material Rates_Master'!D187,45.25
F154,=E154*D154,0
B155,='Material Rates_Master'!A188,Standard Garden Woodchip
C155,='Material Rates_Master'!B188,m3
E155,='Material Rates_Master'!D188,87
F155,=E155*D155,0
B156,='Material Rates_Master'!A189,Turf - Standard Couch or Similar
C156,='Material Rates_Master'!B189,Slab (.5m2)
E156,='Material Rates_Master'!D189,6.48
F156,=E156*D156,0
B158,='Material Rates_Master'!A193,Cement Stabalized Sand (3-5%)
C158,='Material Rates_Master'!B193,m3
E158,='Material Rates_Master'!D193,169
F158,=E158*D158,0
B159,='Material Rates_Master'!A194,Exposed Agg Concrete - Standard/Cheapest Exposed Agg Stone
C159,='Material Rates_Master'!B194,m3
E159,='Material Rates_Master'!D194,252
F159,=E159*D159,0
B160,='Material Rates_Master'!A195,N25 20mm 80 Slump Concrete
C160,='Material Rates_Master'!B195,m3
E160,='Material Rates_Master'!D195,263
F160,=E160*D160,0
B162,,"Valve Margin strips; Concrete slab, 1 directions sign, 3 x valve No sign."
C162,,ea
E162,,380
F162,=E162*D162,0
B165,,FIRE SERVICES - INGROUND
A168,,HIDDEN:
B169,,200 HDPE PN16 SDR11 - REDLINE
C169,='Material Rates_Master'!B5,m
E169,='Material Rates_Master'!D5*$M$16,46.81075
F169,=E169*D169,0
B170,,180 HDPE PN16 SDR11 - REDLINE
C170,='Material Rates_Master'!B6,m
E170,='Material Rates_Master'!D6*$M$16,35.144
F170,=E170*D170,0
B171,,125 HDPE PN16 SDR11 - REDLINE
C171,='Material Rates_Master'!B7,m
E171,='Material Rates_Master'!D7*$M$16,16.99355
F171,=E171*D171,0
B172,,75 HDPE PN16 SDR11 - REDLINE
C172,,m
E172,,12.31
F172,=E172*D172,0
B173,,32 HDPE PN16 SDR11 - BLUELINE
C173,='Material Rates_Master'!B8,m
