cell,formula,cached_value
E82,='Equip&HIRE_Master'!D14,314.2857142857143
F82,=E82*D82,0
E83,='Equip&HIRE_Master'!D15,0
F83,=E83*D83,0
B84,,Ripper_1.7-2T
C84,,Day
E84,='Equip&HIRE_Master'!D16,0
F84,=E84*D84,0
B85,,Ripper_1.5-4T
C85,,Day
E85,='Equip&HIRE_Master'!D17,32.74
F85,=E85*D85,0
B86,,Ripper_3-5T
C86,,Day
E86,='Equip&HIRE_Master'!D18,0
F86,=E86*D86,0
B87,,Ripper_8T
C87,,Day
E87,='Equip&HIRE_Master'!D19,40.38
F87,=E87*D87,0
B88,,Breaker_1.7-2T
C88,,Day
E88,='Equip&HIRE_Master'!D20,123.33
F88,=E88*D88,0
B89,,Breaker_3-5T
C89,,Day
E89,='Equip&HIRE_Master'!D21,165.89
F89,=E89*D89,0
B90,,Breaker_8T
C90,,Day
E90,='Equip&HIRE_Master'!D22,165.89
F90,=E90*D90,0
B91,,Breaker_10-12T
C91,,Day
E91,='Equip&HIRE_Master'!D23,0
F91,=E91*D91,0
B92,,Breaker_13-15T
C92,,Day
E92,='Equip&HIRE_Master'!D24,203
F92,=E92*D92,0
B93,,Auger Drive_10-12T
E93,='Equip&HIRE_Master'!D25,0
F93,=E93*D93,0
B94,,300Dia Auger Drill
E94,='Equip&HIRE_Master'!D26,0
F94,=E94*D94,0
E95,='Equip&HIRE_Master'!D27,0
F95,=E95*D95,0
B96,,1.25T_Tipper Truck 
C96,,Day
E96,='Equip&HIRE_Master'!D28,205
F96,=E96*D96,0
B97,,2-4T_Tipper Truck
C97,,Day
E97,='Equip&HIRE_Master'!D29,166.98
F97,=E97*D97,0
B98,,<6T_Tipper Truck
C98,,Day
E98,='Equip&HIRE_Master'!D30,171.42857142857142
F98,=E98*D98,0
E99,='Equip&HIRE_Master'!D31,0
F99,=E99*D99,0
B100,,<10T_Articulated Site Tipper
C100,,Day
E100,='Equip&HIRE_Master'!D32,0
F100,=E100*D100,0
B101,,Upright Rammer_Wacker
C101,,Day
E101,='Equip&HIRE_Master'!D33,34.285714285714285
F101,=E101*D101,0
B102,,Trench Roller_Dbl Drum_Remote
C102,,Day
E102,='Equip&HIRE_Master'!D34,165
F102,=E102*D102,0
B103,,<26Ft_Scissor Lift - Diesel
C103,,Day
E103,='Equip&HIRE_Master'!D35,0
F103,=E103*D103,0
B104,,<26Ft_Scissor Lift - Elec
C104,,Day
E104,,300
F104,=E104*D104,0
B105,,<34Ft_Boom Lift - Diesel
C105,,Day
E105,='Equip&HIRE_Master'!D37,0
F105,=E105*D105,0
B106,,<34Ft_Boom Lift - Elec
C106,,Day
E106,='Equip&HIRE_Master'!D38,0
F106,=E106*D106,0
E107,='Equip&HIRE_Master'!D39,0
F107,=E107*D107,0
B108,,Porta Loo_No Tank
C108,,Day
E108,='Equip&HIRE_Master'!D40,5.46
F108,=E108*D108,0
B109,,6*3m Demantable Lunchroom - COMPLETE
C109,,Day
E109,='Equip&HIRE_Master'!D41,23
F109,=E109*D109,0
B110,,6*3m Demantable Office - COMPLETE
C110,,Day
E110,='Equip&HIRE_Master'!D42,23
F110,=E110*D110,0
B111,,20Ft Shipping Container
C111,,Day
E111,='Equip&HIRE_Master'!D43,0
F111,=E111*D111,0
B112,,Quick Cut Demo Saw
C112,,Day
