cell,formula,cached_value
E95,,40250
F95,=C95*E95,40250
A97,,EXTERIOR ELEMENTS
A98,,Code
B98,,Description
C98,,Quantity
D98,,Unit
E98,,Rate
F98,,Total
B99,,GENERAL CLARIFICATIONS
A100,,T37.1
B100,,Generally refer drawing CQU-ROK-033-00-ARC-10-00
D100,,Note
B101,,"ROADS, FOOTPATHS AND PAVED AREAS"
B102,,External footpath
A103,,T37.2
B103,,"Proposed footpath connection to lift,  match to existing [approx. area 6m2]"
C103,,1
D103,,item
E103,,1035
F103,=C103*E103,1035
B104,,Concrete pathway from Building 33 to 34
A105,,T37.3
B105,,Allow item for proposed 2000mm wide concrete pathway from Building 33 to 34
C105,,1
D105,,item
E105,,9200
F105,=C105*E105,9200
A108,,BUILDING 36
A109,,GROUNDWORKS
A110,,Code
B110,,Description
C110,,Quantity
D110,,Unit
E110,,Rate
F110,,Total
B111,,GENERAL CLARIFICATIONS
A112,,T04.1
B112,,"Refer drawing Drg 36-ST-DR-GDL-510-00-00, 00-ST-DR-A00-010-00-01,00-ST-DR-A00-010-00-02,00-ST-DR-A00-010-00-03, CQU-ROK-036-00-ARC-40-00"
D112,,Note
B113,,WORK MEASURED IN OTHER SECTIONS
A114,,T04.2
B114,,Stormwater drainage included in T32 HYDRAULICS
D114,,Note
B115,,PRELIMINARIES
A116,,T04.3
B116,,Site establishment & demobilisation
C116,,1
D116,,item
E116,,18400
F116,=C116*E116,18400
A117,,T04.4
B117,,Survey set-out
C117,,1
D117,,item
E117,,4025
F117,=C117*E117,4025
A118,,T04.5
B118,,As constructed survey
C118,,1
D118,,item
E118,,4025
F118,=C118*E118,4025
B119,,EROSION AND SEDIMENT CONTROL
A120,,T04.6
B120,,Allow for erosion and sediment control
C120,,1
D120,,item
E120,,5750
F120,=C120*E120,5750
B121,,EXCAVATION
B122,,Siteworks
A123,,T04.7
B123,,"Clear the site of all vegetable matter, debris, rubbish etc.; including trees <= 500 girth complete with stumps and roots, if required [approximate area]"
C123,,611
D123,,m2
E123,,5.4625
F123,=C123*E123,3337.5875
A124,,T04.8
B124,,"Excavate to remove top soil average depth to be confirmed, if required [approximate area]"
C124,,611
D124,,m2
E124,,22.425
F124,=C124*E124,13701.675000000001
A125,,EXTERIOR ELEMENTS
A126,,Code
B126,,Description
C126,,Quantity
D126,,Unit
E126,,Rate
F126,,Total
B127,,GENERAL CLARIFICATIONS
A128,,T37.1
B128,,"Generally refer drawing CQU-ROK-036-GN-ARC-21-01, CQU-ROK-036-00-ARC-10-00,  C230, C240"
D128,,Note
B129,,"ROADS, FOOTPATHS AND PAVED AREAS"
B130,,External Pavements
A131,,T37.2
B131,,"Proposed Pavement Type 1 - Compacted subgrade, 100 mm thick Type 2.5 (CBR 15%) subgrade replacement (provisional), 150 mm thick Type 2.5 (CBR 15%) lower course, 125 mm thick Type 2.3 (CBR 45%) subbase, 125 mm thick Type 2.1 (CBR 80%) base and 40 mm thick AC14 dense graded asphalt wearing course to proposed drop-off area and driveway"
C131,,364
D131,,m2
E131,,224.25
F131,=C131*E131,81627
A132,,T37.3
B132,,"Proposed Pavement Type 3 - Compacted subgrade, 120 mm thick Type 2.3 (CBR 45%) subbase and 180 mm thick 32MPa concrete slab with SL82 mesh top cover including necessary formwork"
C132,,249
D132,,m2
E132,,218.5
F132,=C132*E132,54406.5
A133,,T37.4
B133,,"Proposed Pavement Type 4 - Compacted subgrade, 140 mm thick Type 2.3 (CBR 45%) subbase and 160 mm thick 32MPa concrete slab with SL82 mesh top cover including necessary formwork"
C133,,302
D133,,m2
E133,,201.25
F133,=C133*E133,60777.5
A134,,T37.5
B134,,Allow for joints
C134,,915
D134,,m2
E134,,9.775
F134,=C134*E134,8944.125
A135,,T37.6
B135,,Allow for connection between footpath and proposed driveway
C135,,24
D135,,m
E135,,109.25
F135,=C135*E135,2622
B136,,Line marking
A137,,T37.7
B137,,Allow for Line marking to new road
C137,,1
D137,,item
E137,,2875
F137,=C137*E137,2875
A138,,T37.8
B138,,"Allow for Line marking to car park, 90mmwide unbroken line"
C138,,43
D138,,m
E138,,20.7
F138,=C138*E138,890.1
A139,,T37.9
B139,,Install disabled symbol in accordance with AS2890.6
C139,,1
D139,,no
E139,,632.5
F139,=C139*E139,632.5
A140,,T37.10
B140,,"Yellow slip resistant line marking 150-200mm wide, spaced 200-300mm apart at 450"
C140,,13
D140,,m2
E140,,86.25
F140,=C140*E140,1121.25
B141,,Kerbs
A142,,T37.11
B142,,150 mm x 300 mm High barrier kerb as per Civil drawing C240 [BKC]
C142,,22
D142,,m
E142,,373.75
F142,=C142*E142,8222.5
B143,,Wheel Stops
A144,,T37.12
B144,,Wheel stopper 2000mm long
C144,,5
D144,,no
E144,,299
F144,=C144*E144,1495
A147,,BUILDING 76
A148,,GROUNDWORKS
A149,,Code
B149,,Description
C149,,Quantity
D149,,Unit
E149,,Rate
F149,,Total
B150,,GENERAL CLARIFICATIONS
A151,,T04.1
B151,,Refer drawing CQU-ROK-076-GN-ARC-23-01
D151,,Note
B152,,PRELIMINARIES
A153,,T04.2
B153,,Site establishment & demobilisation
C153,,1
