cell,formula,cached_value
D102,='[3]240522_Supplier RFQ'!F113,13.5
F102,=I102*D102,2025
I102,,150
A103,,Denzo Tape 100mm roll
B103,,ea
D103,='[3]240522_Supplier RFQ'!F114,27.14
F103,=I103*D103,4071
I103,,150
A104,,Black over-wrap tape - roll
B104,,ea
D104,='[3]240522_Supplier RFQ'!F115,27.14
F104,=I104*D104,4071
I104,,150
A106,,FIRE SERVICES - ABOVE GROUND
A107,,Description
B107,,Unit
D107,,Rate
F107,,Total
G107,,COMPLETED don’t edit
I107,,Qty
A108,,150mm MED DUTY Galv Pipe
B108,,m
D108,='[3]240522_Supplier RFQ'!$I$120,43.84615384615385
F108,=I108*D108,3946.153846153846
I108,,90
A109,,100mm MED DUTY Galv Pipe w/RG Ends
B109,,m
D109,='[3]240522_Supplier RFQ'!$I$121,28.46153846153846
F109,=I109*D109,341.53846153846155
I109,,12
A110,,100mm Class B Copper Pipe
B110,,m
D110,='[3]240522_Supplier RFQ'!$L$122,106.24166666666667
F110,=I110*D110,1274.9
I110,,12
A111,,25mm Class B Copper Pipe
B111,,m
D111,='[3]240522_Supplier RFQ'!$L$123,59.82
F111,=I111*D111,717.84
I111,,12
G112,,COMPLETED don’t edit
A113,,150mm Galv RG Coupling
B113,,ea
D113,='[3]240522_Supplier RFQ'!I125,12.83
F113,=I113*D113,384.9
I113,,30
A114,,100mm Galv RG Coupling
B114,,ea
D114,='[3]240522_Supplier RFQ'!I126,7.55
F114,=I114*D114,75.5
I114,,10
A115,,150mm Galv RG TEE
B115,,ea
D115,='[3]240522_Supplier RFQ'!I127,35.5
F115,=I115*D115,106.5
I115,,3
A116,,100mm Galv RG TEE
B116,,ea
D116,='[3]240522_Supplier RFQ'!I128,16.93
F116,=I116*D116,33.86
I116,,2
A117,,150mm Galv RG BEND 90Deg
B117,,ea
D117,='[3]240522_Supplier RFQ'!I129,22.85
F117,=I117*D117,457
G117,,COMPLETED don’t edit
I117,,20
A118,,100mm Galv RG BEND 90Deg
B118,,ea
D118,='[3]240522_Supplier RFQ'!I130,10.62
F118,=I118*D118,63.72
I118,,6
A119,,150mm Galv RG BEND 45Deg
B119,,ea
D119,='[3]240522_Supplier RFQ'!I131,23.5
F119,=I119*D119,188
I119,,8
A120,,100mm Galv RG BEND 45Deg
B120,,ea
D120,='[3]240522_Supplier RFQ'!I132,11.4
F120,=I120*D120,68.4
I120,,6
A121,,150mm Galv RG x 100mm FLANGE Adapt
B121,,ea
D121,='[3]240522_Supplier RFQ'!I133,30.75
F121,=I121*D121,307.5
I121,,10
A122,,100mm Galv RG x 100mm FLANGE Adapt
B122,,ea
D122,='[3]240522_Supplier RFQ'!I134,23.21
F122,=I122*D122,185.68
G122,,COMPLETED don’t edit
I122,,8
A123,,150mm RG Butterfly Valve Geared Wheel
B123,,ea
D123,='[3]240522_Supplier RFQ'!I135,217.8
