path,pages,status
Tender Docs\260701-Paynters\02 Specifications\1. Clubhouse and Amenities Architectural Specifications\VOL 25. Clubhouse  - FF&E Schedule T1.pdf,20,ok
Tender Docs\260701-Paynters\02 Specifications\1. Clubhouse and Amenities Architectural Specifications\VOL 28. Amenities - FF&E Schedule T1.pdf,9,ok
Tender Docs\260701-Paynters\02 Specifications\4. Hydraulic Services\VOL 38 - Hydraulic Services Specification-T1.pdf,153,ok
Tender Docs\260701-Paynters\Addendum 1\Attachment 14 - Vegetation and Fauna Management Plan.pdf,11,ok
Tender Docs\260701-Paynters\Addendum 1\Rockhampton Sports Precinct.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\16699_Addendum No. 10.pdf,3,ok
Tender Docs\260701-Paynters\Addendum 10\16699_Addendum No. 8.pdf,4,ok
Tender Docs\260701-Paynters\Addendum 10\16699_Addendum No. 9.pdf,4,ok
Tender Docs\260701-Paynters\Addendum 10\24253_RSP-LSC-Transmittal-[TENDER].pdf,2,ok
Tender Docs\260701-Paynters\Addendum 10\25015-E-SITE-304_T2.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\25015-E-SITE-306_T2.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2101 SURFACE FINISHES PLAN 01.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2102 SURFACE FINISHES PLAN 02.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2103 SURFACE FINISHES PLAN 03.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2104 SURFACE FINISHES PLAN 04.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2105 SURFACE FINISHES PLAN 05.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2106 SURFACE FINISHES PLAN 06.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\LD-2109 SURFACE FINISHES PLAN 09.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\MOD-AR-NBC-2001-T2-ELEVATIONS - SHEET 01.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\MOD-AR-NBC-2002-T2-ELEVATIONS - SHEET 02.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\MOD-AR-NBC-5102-T2-DOOR & WINDOW SCHEDULES.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 10\SE_12306_RPT006_B Design Report.pdf,95,ok
Tender Docs\260701-Paynters\Addendum 2\Rockhampton Sports Precinct.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 5\Rockhampton Sports Precinct.pdf,2,ok
Tender Docs\260701-Paynters\Addendum 5\Attachments\25015-E-SITE-304_T2.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 5\Attachments\25015-E-SITE-306_T2.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 7\16699_Addendum No. 7.pdf,6,ok
Tender Docs\260701-Paynters\Addendum 8\16699_Addendum No. 8.pdf,4,ok
Tender Docs\260701-Paynters\Addendum 8\MOD-AR-NBC-2001-T2-ELEVATIONS - SHEET 01.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 8\MOD-AR-NBC-2002-T2-ELEVATIONS - SHEET 02.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 8\SE_12306_RPT006_B Design Report.pdf,95,ok
Tender Docs\260701-Paynters\Addendum 9\16699_Addendum No. 9.pdf,4,ok
Tender Docs\260701-Paynters\Addendum 9\24253_RSP-LSC-Transmittal-[TENDER].pdf,2,ok
Tender Docs\260701-Paynters\Addendum 9\25015-E-SITE-304_T2.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\25015-E-SITE-306_T2.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2101 SURFACE FINISHES PLAN 01.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2102 SURFACE FINISHES PLAN 02.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2103 SURFACE FINISHES PLAN 03.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2104 SURFACE FINISHES PLAN 04.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2105 SURFACE FINISHES PLAN 05.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2106 SURFACE FINISHES PLAN 06.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\LD-2109 SURFACE FINISHES PLAN 09.pdf,1,ok
Tender Docs\260701-Paynters\Addendum 9\MOD-AR-NBC-5102-T2-DOOR & WINDOW SCHEDULES.pdf,1,ok
TriCore Docs\Denis Email updates\260724 _ ROK Sports Precinct_ CIVIL SW V1 Summaries.pdf,5,ok
TriCore Docs\Denis Email updates\260724_ ROK SPORTS Hydraulic Summaries.pdf,7,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p2-legend.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p2.pdf,1,ok
